root_time,mass_uptake
0,34644.0896
0.70711,34643.00492
1,34641.3779
1.22474,34640.29323
1.41421,34639.20855
1.58114,34638.66621
1.73205,34638.12387
1.87083,34637.58153
2,34637.03919
2.12132,34637.03919
2.23607,34636.49685
2.34521,34635.95451
2.44949,34635.41217
2.54951,34635.41217
2.64575,34634.32749
2.73861,34634.32749
2.82843,34633.78515
2.91548,34633.24282
3,34632.70048
3.08221,34632.15814
3.16228,34631.6158
3.24037,34631.07346
3.31662,34629.98878
3.39116,34629.44644
3.4641,34628.9041
3.53553,34627.81942
3.60555,34627.27708
3.67423,34626.1924
3.74166,34625.10773
3.80789,34624.02305
3.87298,34622.93837
3.937,34621.85369
4,34620.76901
4.06202,34619.14199
4.12311,34618.05732
4.1833,34616.4303
4.24264,34615.34562
4.30116,34613.7186
4.3589,34612.63392
4.41588,34611.00691
4.47214,34609.37989
4.52769,34608.29521
4.58258,34606.66819
4.63681,34605.04117
4.69042,34602.87182
4.74342,34601.2448
4.79583,34599.07544
4.84768,34597.44842
4.89898,34595.27907
4.94975,34593.10971
5,34590.94035
5.04975,34588.771
5.09902,34586.60164
5.14782,34583.88994
5.19615,34581.72059
5.24404,34579.00889
5.2915,34576.29719
5.33854,34574.12784
5.38516,34571.41614
5.43139,34568.70444
5.47723,34565.99275
5.52268,34562.73871
5.56776,34560.02702
5.61249,34557.31532
5.65685,34554.06128
5.70088,34550.80725
5.74456,34548.09555
5.78792,34545.38386
5.83095,34542.67216
5.87367,34539.41812
5.91608,34535.62175
5.95819,34531.82537
6,34527.48666
6.04152,34522.06327
6.08276,34516.09754
6.12372,34510.67414
6.16441,34505.25075
6.20484,34499.82736
6.245,34495.48864
6.2849,34491.14993
6.32456,34487.35355
6.36396,34483.55718
6.40312,34480.30314
6.44205,34477.04911
6.48074,34474.33741
6.5192,34471.62572
6.55744,34468.91402
6.59545,34466.20232
6.63325,34463.49063
6.67083,34460.77893
6.7082,34458.06723
6.74537,34455.35554
6.78233,34453.18618
6.81909,34450.47448
6.85565,34447.76279
6.89202,34445.59343
6.9282,34443.42407
6.96419,34440.71238
7,34438.54302
7.03562,34436.37366
7.07107,34433.66197
7.10634,34431.49261
7.14143,34429.32325
7.17635,34427.1539
7.2111,34424.98454
7.24569,34422.27284
7.28011,34420.10349
7.31437,34417.93413
7.34847,34415.76477
7.38241,34413.59541
7.4162,34411.42606
7.44983,34409.2567
7.48331,34407.08734
7.51665,34404.91799
7.54983,34402.74863
7.58288,34400.57927
7.61577,34398.40992
7.64853,34396.24056
7.68115,34394.0712
7.71362,34391.90184
7.74597,34389.73249
7.77817,34387.56313
7.81025,34385.39377
7.84219,34383.22442
7.87401,34381.05506
7.90569,34378.8857
7.93725,34376.71635
7.96869,34374.00465
8,34371.83529
8.03119,34369.66593
8.06226,34366.95424
8.09321,34364.24254
8.12404,34362.07319
8.15475,34359.36149
8.18535,34356.64979
8.21584,34353.9381
8.24621,34351.2264
8.27647,34348.5147
8.30662,34345.26067
8.33667,34342.54897
8.3666,34339.83728
8.39643,34336.58324
8.42615,34333.3292
8.45577,34330.07517
8.48528,34326.82113
8.51469,34323.5671
8.544,34319.77072
8.57321,34316.51669
8.60233,34312.72031
8.63134,34309.46628
8.66025,34305.6699
8.68907,34301.87353
8.7178,34298.07715
8.74643,34294.28078
8.77496,34290.4844
8.80341,34286.14569
8.83176,34282.34931
8.86002,34278.0106
8.88819,34274.21422
8.91628,34270.96019
8.94427,34267.16381
8.97218,34263.90978
9,34260.1134
9.02774,34256.31703
9.05539,34251.97832
9.08295,34247.6396
9.11043,34242.75855
9.13783,34237.87749
9.16515,34234.08112
9.19239,34230.28474
9.21954,34227.03071
9.24662,34224.86135
9.27362,34222.14966
9.30054,34220.52264
9.32738,34218.35328
9.35414,34216.72626
9.38083,34215.09925
9.40744,34213.47223
9.43398,34212.38755
9.46044,34210.76053
9.48683,34209.67585
9.51315,34208.59117
9.53939,34207.5065
9.56556,34206.96416
9.59166,34205.87948
9.61769,34205.33714
9.64365,34204.25246
9.66954,34203.71012
9.69536,34203.16778
9.72111,34202.62544
9.74679,34202.62544
9.77241,34202.0831
9.79796,34201.54076
9.82344,34200.99842
9.84886,34200.45609
9.87421,34200.45609
9.89949,34199.91375
9.92472,34199.91375
9.94987,34199.37141
9.97497,34198.82907
10,34198.82907
10.02497,34198.28673
10.04988,34197.74439
10.07472,34197.20205
10.0995,34196.65971
10.12423,34196.11737
10.14889,34195.57503
10.17349,34194.49035
10.19804,34193.94801
10.22252,34192.86334
10.24695,34191.77866
10.27132,34191.23632
10.29563,34190.15164
10.31988,34188.52462
10.34408,34187.43994
10.36822,34186.35526
10.3923,34184.72825
10.41633,34183.64357
10.44031,34182.55889
10.46422,34181.47421
10.48809,34180.38953
10.5119,34179.30485
10.53565,34177.67784
10.55936,34174.96614
10.58301,34172.79678
10.6066,34170.62743
10.63015,34168.45807
10.65364,34167.37339
10.67708,34166.28871
10.70047,34166.83105
10.72381,34167.37339
10.74709,34168.45807
10.77033,34170.08509
10.79352,34171.7121
10.81665,34173.33912
10.83974,34174.96614
10.86278,34176.59316
10.88577,34178.76252
10.90871,34180.38953
10.93161,34182.01655
10.95445,34183.64357
10.97725,34185.81293
11,34188.52462
11.0227,34190.69398
11.04536,34192.86334
11.06797,34195.03269
11.09054,34196.65971
11.11306,34197.20205
11.13553,34196.65971
11.15796,34195.03269
11.18034,34193.40568
11.20268,34190.15164
11.22497,34186.35526
11.24722,34182.55889
11.26943,34178.22018
11.29159,34174.4238
