root_time,mass_uptake
0,1159.859977
0.707106781,1211.460162
1,2181.959496
1.224744871,4174.238464
1.414213562,6869.739127
1.58113883,9988.314555
1.732050808,13345.23018
1.870828693,16787.42022
2,19396.03473
2.121320344,21042.6146
2.236067977,22032.39326
2.34520788,22638.27098
2.449489743,23040.70075
2.549509757,23339.33959
2.645751311,23583.54847
2.738612788,23797.49116
2.828427125,23993.66783
2.915475947,24178.68537
3,24356.03794
3.082207001,24527.57103
3.16227766,24694.28122
3.240370349,24857.04203
3.31662479,25016.07493
3.391164992,25171.53987
3.464101615,25323.62139
3.535533906,25472.55325
3.605551275,25618.53232
3.674234614,25761.6447
3.741657387,25901.96424
3.807886553,26039.49091
3.872983346,26174.39697
3.937003937,26306.69473
4,26436.4457
4.062019202,26563.72369
4.123105626,26688.59023
4.183300133,26811.19296
4.242640687,26931.43345
4.301162634,27049.49625
4.358898944,27165.39366
4.415880433,27279.22411
4.472135955,27391.01221
4.527692569,27500.78256
4.582575695,27608.70741
4.636809248,27714.70064
4.69041576,27818.82376
4.74341649,27921.08908
4.795831523,28021.64423
4.847679857,28120.52613
4.898979486,28217.78399
4.949747468,28313.54085
5,28407.87051
5.049752469,28500.78529
5.099019514,28592.3098
5.14781507,28682.53015
5.196152423,28771.54478
5.244044241,28859.27986
5.291502622,28945.83382
5.338539126,29031.26817
5.385164807,29115.52141
5.431390246,29198.64273
5.477225575,29280.52143
5.522680509,29361.31742
5.567764363,29440.94461
5.61248608,29519.31685
5.656854249,29596.58179
5.700877125,29672.6164
5.744562647,29747.58061
5.787918451,29821.30219
5.830951895,29893.80575
5.873670062,29965.2266
5.916079783,30035.35561
5.958187644,30104.36501
6,30172.2056
6.041522987,30238.85276
6.08276253,30304.44184
6.123724357,30368.81289
6.164414003,30432.10124
6.204836823,30494.40533
6.244997998,30555.60211
6.284902545,30615.85154
6.32455532,30674.95676
6.363961031,30733.09002
6.403124237,30790.2021
6.442049363,30846.34221
6.480740698,30901.54727
6.519202405,30955.81728
6.557438524,31009.23836
6.595452979,31061.7736
6.633249581,31113.55834
6.670832032,31164.44493
6.708203932,31214.48259
6.745368782,31263.70823
6.782329983,31312.24489
6.819090848,31359.95722
6.8556546,31406.88213
6.892024376,31453.10576
6.92820323,31498.66501
6.964194139,31543.52297
7,31587.63042
7.03562364,31631.14732
7.071067812,31673.97522
7.106335202,31716.00342
7.141428429,31757.33032
7.176350047,31797.99284
7.211102551,31838.10171
7.245688373,31877.5339
7.280109889,31916.26479
7.314369419,31954.47895
7.348469228,31992.12715
7.38241153,32029.11098
7.416198487,32065.39351
7.449832213,32101.07318
7.483314774,32136.16229
7.516648189,32170.56242
7.549834435,32204.23664
7.582875444,32237.24649
7.615773106,32269.61656
7.64852927,32301.27304
7.681145748,32332.35126
7.71362431,32362.91275
7.745966692,32392.9821
7.778174593,32422.73156
7.810249676,32452.17344
7.842193571,32481.44307
7.874007874,32510.49125
7.90569415,32539.42869
7.937253933,32568.29231
7.968688725,32596.98369
8,32625.57664
8.031189202,32654.05886
8.062257748,32682.55338
8.093207028,32711.0479
8.124038405,32739.55473
8.154753215,32768.06156
8.185352772,32796.55608
8.215838363,32824.98908
8.246211251,32853.31136
8.276472679,32881.25223
8.306623863,32908.7994
8.336666,32935.97747
8.366600265,32962.6757
8.396427812,32988.89411
8.426149773,33014.57117
8.455767263,33039.74379
8.485281374,33064.52271
8.514693183,33088.93252
8.544003745,33113.02245
8.5732141,33136.79249
8.602325267,33160.40259
8.631338251,33183.92657
8.660254038,33207.33981
8.689073598,33230.61772
8.717797887,33253.74799
8.746427842,33276.73062
8.774964387,33299.56561
8.803408431,33322.32678
8.831760866,33344.96491
8.860022573,33367.48002
8.888194417,33389.84748
8.91627725,33412.14112
8.94427191,33434.32403
8.972179222,33456.37161
9,33478.35767
9.027735043,33500.22069
9.055385138,33522.04681
9.082951062,33543.83601
9.110433579,33565.5391
9.137833441,33587.10684
9.16515139,33608.47773
9.192388155,33629.7379
9.219544457,33650.7889
9.246621004,33671.58154
9.273618495,33692.16502
9.300537619,33712.50243
9.327379053,33732.63068
9.354143467,33752.57439
9.38083152,33772.43197
9.407443861,33792.17882
9.433981132,33811.77803
9.460443964,33831.30343
9.486832981,33850.73039
9.513148795,33869.9359
9.539392014,33888.96916
9.565563235,33907.84247
9.591663047,33926.54354
9.617692031,33945.01084
9.643650761,33963.36742
9.669539803,33981.58866
9.695359715,33999.66226
9.721111048,34017.58821
9.746794345,34035.29271
9.772410143,34052.87418
9.797958971,34070.32031
9.823441352,34087.6311
9.848857802,34104.79425
9.874208829,34121.79746
9.899494937,34138.73915
9.924716621,34155.55781
9.949874371,34172.16731
9.974968672,34188.66608
10,34205.04182
10.02496883,34221.26992
10.04987562,34237.36268
10.07472084,34253.22168
10.09950494,34268.96995
10.12422837,34284.49676
10.14889157,34299.93744
10.17349497,34315.23049
10.19803903,34330.31437
10.22252415,34345.37365
10.24695077,34360.24839
10.27131929,34375.0493
10.29563014,34389.65336
10.31988372,34404.07286
10.34408043,34418.41855
10.36822068,34432.55508
10.39230485,34446.60549
10.41633333,34460.52056
10.44030651,34474.37412
10.46422477,34488.12925
